# Detailed performance comparison of introsort::sort and std::slice::sort.
# I benchmark various "patterns" (methods of generating lists), modified 
# by varioues "variants" (ways of "shuffling" the generated list).
# These patterns and variant are parametrized by a parameters m.
#
# The patterns are
# * sawtooth: v[i] = i % m
# * rand: v[i] = random()
# * stagger: v[i] = (i*m + i) % size
# * plateau: v[i] = min(i, m)
# * shuffle: if random() / m == 0 { j+=2; j } else { k += 2; k }
#
# The variations are
# * ident: no change
# * reverse: reversed
# * reverse_front: first half reversed
# * reverse_back: second hald reversed
# * sort: sorted
# * dither: v[i] += i % 5
#
# The type of the elements sorted was i32.
# Listed below are values for throughput (elements / microsecond).
# Taking the geometric mean for introsort we get 93.8, compared to 37.0 for std.
#
# Both algorithms use insertion sort for small lists, so size = 10 only compares
# the repective insertion sort implementations.
# For larger values it can be seen that introsort is many times faster than std when
# the list has few unique elements or is (partially) sorted.

size     m        pattern   variant        introsort  std    introsort/std
1000000  2        plateau   reverse        571.6      28.0   20.41
1000000  2        plateau   reverse_front  570.6      28.0   20.40
1000000  2        plateau   reverse_back   563.8      27.6   20.40
1000000  2        plateau   sort           548.9      27.8   19.74
1000000  2        plateau   dither         223.7      17.4   12.86
1000000  2        shuffle   ident          102.2      28.0   3.65
1000000  2        shuffle   reverse        91.2       20.4   4.46
1000000  2        shuffle   reverse_front  90.4       23.0   3.93
1000000  2        shuffle   reverse_back   89.7       23.1   3.88
1000000  2        shuffle   sort           102.5      28.3   3.63
1000000  2        shuffle   dither         97.6       27.8   3.51
1000000  4        sawtooth  ident          247.2      18.0   13.70
1000000  4        sawtooth  reverse        283.7      17.6   16.15
1000000  4        sawtooth  reverse_front  273.2      17.8   15.34
1000000  4        sawtooth  reverse_back   285.8      17.9   16.00
1000000  4        sawtooth  sort           324.5      28.2   11.49
1000000  4        sawtooth  dither         182.0      16.7   10.91
1000000  4        rand      ident          13.5       14.7   0.92
1000000  4        rand      reverse        13.5       14.7   0.92
1000000  4        rand      reverse_front  13.5       14.7   0.92
1000000  4        rand      reverse_back   13.5       14.8   0.92
1000000  4        rand      sort           102.8      27.4   3.75
1000000  4        rand      dither         13.3       14.6   0.91
1000000  4        stagger   ident          30.0       25.0   1.20
1000000  4        stagger   reverse        30.4       18.9   1.60
1000000  4        stagger   reverse_front  30.6       21.4   1.43
1000000  4        stagger   reverse_back   30.2       21.5   1.41
1000000  4        stagger   sort           89.9       28.1   3.20
1000000  4        stagger   dither         30.7       25.0   1.23
1000000  4        plateau   ident          565.2      28.3   20.00
1000000  4        plateau   reverse        572.3      28.2   20.30
1000000  4        plateau   reverse_front  567.9      28.1   20.24
1000000  4        plateau   reverse_back   565.4      28.2   20.08
1000000  4        plateau   sort           550.8      28.1   19.61
1000000  4        plateau   dither         223.0      17.5   12.74
1000000  4        shuffle   ident          103.0      28.0   3.68
1000000  4        shuffle   reverse        91.7       20.6   4.46
1000000  4        shuffle   reverse_front  91.5       22.9   3.99
1000000  4        shuffle   reverse_back   89.8       23.2   3.87
1000000  4        shuffle   sort           103.1      28.0   3.68
1000000  4        shuffle   dither         96.7       27.8   3.48
1000000  8        sawtooth  ident          175.6      17.4   10.11
1000000  8        sawtooth  reverse        199.8      16.4   12.15
1000000  8        sawtooth  reverse_front  164.4      16.9   9.72
1000000  8        sawtooth  reverse_back   176.6      16.9   10.45
1000000  8        sawtooth  sort           274.3      28.1   9.75
1000000  8        sawtooth  dither         122.8      16.5   7.44
1000000  8        rand      ident          13.5       14.7   0.92
1000000  8        rand      reverse        13.5       14.7   0.92
1000000  8        rand      reverse_front  13.4       13.8   0.97
1000000  8        rand      reverse_back   13.2       14.7   0.90
1000000  8        rand      sort           101.5      28.2   3.60
1000000  8        rand      dither         13.0       14.7   0.88
1000000  8        stagger   ident          27.1       24.7   1.10
1000000  8        stagger   reverse        27.3       18.5   1.47
1000000  8        stagger   reverse_front  27.4       21.1   1.30
1000000  8        stagger   reverse_back   26.8       21.2   1.27
1000000  8        stagger   sort           102.5      27.7   3.70
1000000  8        stagger   dither         28.2       24.6   1.15
1000000  8        plateau   ident          557.2      27.4   20.33
1000000  8        plateau   reverse        562.4      27.8   20.22
1000000  8        plateau   reverse_front  561.5      28.2   19.95
1000000  8        plateau   reverse_back   567.1      28.1   20.15
1000000  8        plateau   sort           546.5      28.2   19.41
1000000  8        plateau   dither         221.9      17.5   12.69
1000000  8        shuffle   ident          102.2      28.2   3.63
1000000  8        shuffle   reverse        91.6       20.2   4.54
1000000  8        shuffle   reverse_front  91.9       23.0   3.99
1000000  8        shuffle   reverse_back   88.8       22.8   3.90
1000000  8        shuffle   sort           101.7      26.8   3.80
1000000  8        shuffle   dither         96.2       27.7   3.48
1000000  16       sawtooth  ident          98.2       17.3   5.68
1000000  16       sawtooth  reverse        100.7      15.6   6.46
1000000  16       sawtooth  reverse_front  91.7       16.6   5.53
1000000  16       sawtooth  reverse_back   98.3       16.5   5.95
1000000  16       sawtooth  sort           239.2      27.5   8.70
1000000  16       sawtooth  dither         80.9       16.8   4.81
1000000  16       rand      ident          13.3       14.5   0.92
1000000  16       rand      reverse        13.3       14.3   0.93
1000000  16       rand      reverse_front  13.3       14.6   0.91
1000000  16       rand      reverse_back   13.4       14.6   0.91
1000000  16       rand      sort           100.9      28.0   3.61
1000000  16       rand      dither         13.3       14.8   0.90
1000000  16       stagger   ident          25.3       24.2   1.05
1000000  16       stagger   reverse        25.4       18.0   1.41
1000000  16       stagger   reverse_front  25.6       20.6   1.24
1000000  16       stagger   reverse_back   25.6       20.7   1.24
1000000  16       stagger   sort           102.9      27.9   3.69
1000000  16       stagger   dither         25.2       24.3   1.04
1000000  16       plateau   ident          546.0      28.0   19.52
1000000  16       plateau   reverse        551.1      28.1   19.60
1000000  16       plateau   reverse_front  550.6      27.8   19.81
1000000  16       plateau   reverse_back   543.1      27.9   19.48
1000000  16       plateau   sort           548.1      27.7   19.76
1000000  16       plateau   dither         221.2      17.1   12.90
1000000  16       shuffle   ident          103.3      27.5   3.75
1000000  16       shuffle   reverse        91.0       19.5   4.67
